strategy,trades,wins,losses,win_rate_pct,total_pnl,timeframe,data_start,data_end,run_at_utc
BREAKOUT,0,0,0,0.0,0,^NSEI|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-06 14:11:58
DEMAND_SUPPLY,0,0,0,0.0,0,^NSEI|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-06 14:11:58
ONE_TRADE_DAY,0,0,0,0.0,0,^NSEI|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-06 14:11:58
BREAKOUT,0,0,0,0.0,0,^NSEI|15m|1mo,2026-02-09 03:45:00,2026-03-06 10:00:00,2026-03-06 14:12:22
DEMAND_SUPPLY,0,0,0,0.0,0,^NSEI|15m|1mo,2026-02-09 03:45:00,2026-03-06 10:00:00,2026-03-06 14:12:22
ONE_TRADE_DAY,0,0,0,0.0,0,^NSEI|15m|1mo,2026-02-09 03:45:00,2026-03-06 10:00:00,2026-03-06 14:12:22
BREAKOUT,4,3,1,75.0,4007.2,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-06 14:12:37
DEMAND_SUPPLY,5,3,2,60.0,3992.4,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-06 14:12:37
ONE_TRADE_DAY,5,3,2,60.0,3996.1,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-06 14:12:37
BREAKOUT,4,3,1,75.0,4007.2,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-06 14:27:56
DEMAND_SUPPLY,5,3,2,60.0,3992.4,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-06 14:27:56
ONE_TRADE_DAY,5,3,2,60.0,3996.1,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-06 14:27:56
BREAKOUT,4,3,1,75.0,4007.2,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-06 14:47:59
DEMAND_SUPPLY,5,3,2,60.0,3992.4,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-06 14:47:59
ONE_TRADE_DAY,5,3,2,60.0,3996.1,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-06 14:47:59
BTST,3,2,1,66.67,3970.4,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-06 14:47:59
BREAKOUT,4,3,1,75.0,4007.2,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-06 15:23:57
DEMAND_SUPPLY,5,3,2,60.0,3992.4,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-06 15:23:57
ONE_TRADE_DAY,5,3,2,60.0,3996.1,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-06 15:23:57
BTST,3,2,1,66.67,3970.4,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-06 15:23:57
BREAKOUT,4,3,1,75.0,4007.2,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-06 15:30:03
DEMAND_SUPPLY,5,3,2,60.0,3992.4,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-06 15:30:03
ONE_TRADE_DAY,5,3,2,60.0,3996.1,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-06 15:30:03
BTST,3,2,1,66.67,3970.4,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-06 15:30:03
BREAKOUT,4,3,1,75.0,4007.2,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-06 15:45:02
